Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Cash,Booking,2024-11-09 07:05:35,2024-11-09 12:05:35,Bus Ticket,+5231.00,0.00,INR,pending,-231
Cash,Booking,2024-09-08 09:24:11,2024-09-08 15:24:11,Tour Package,+1846.00,0.00,INR,completed,6846
Cash,Booking,2024-11-25 23:16:20,2024-11-26 04:16:20,Hotel Reservation,+3359.00,0.00,INR,completed,10205
Cash,Booking,2024-11-22 16:03:05,2024-11-22 23:03:05,Train Ticket,+2179.00,0.00,INR,completed,12384
Cash,Refund,2024-09-12 10:00:32,2024-09-12 18:00:32,Tour Package,+3099.00,0.00,INR,completed,15483
Card,Refund,2024-10-28 16:09:40,2024-10-29 02:09:40,Hotel Reservation,-1467.00,0.00,INR,pending,16950
Card,Payment,2024-11-04 02:30:32,2024-11-04 03:30:32,Bus Ticket,-2410.00,0.00,INR,pending,17893
Cash,Booking,2024-11-15 16:43:33,2024-11-15 20:43:33,Car Rental,+1320.00,0.00,INR,completed,16803
Card,Payment,2024-09-01 04:14:54,2024-09-01 05:14:54,Bus Ticket,-7513.00,0.00,INR,pending,24316
Card,Refund,2024-09-19 07:33:41,2024-09-19 16:33:41,Hotel Reservation,-7510.00,0.00,INR,pending,24313
Card,Refund,2024-09-19 02:28:44,2024-09-19 05:28:44,Car Rental,-4627.00,0.00,INR,completed,12176
Card,Payment,2024-11-02 18:24:13,2024-11-02 19:24:13,Hotel Reservation,-6656.00,0.00,INR,pending,18832
Cash,Payment,2024-09-18 03:05:17,2024-09-18 14:05:17,Flight Ticket,+7418.00,0.00,INR,pending,4758
Card,Refund,2024-09-19 11:25:50,2024-09-19 21:25:50,Tour Package,-1910.00,0.00,INR,completed,10266
Card,Payment,2024-09-10 02:50:42,2024-09-10 08:50:42,Tour Package,-3506.00,0.00,INR,completed,6760
Cash,Payment,2024-10-30 13:57:08,2024-10-30 19:57:08,Tour Package,+5489.00,0.00,INR,completed,12249
Card,Payment,2024-11-22 09:28:09,2024-11-22 17:28:09,Hotel Reservation,-6073.00,0.00,INR,pending,18322
Card,Payment,2024-09-17 20:07:58,2024-09-18 03:07:58,Flight Ticket,-6722.00,0.00,INR,pending,18971
Cash,Refund,2024-10-12 06:56:53,2024-10-12 09:56:53,Tour Package,+5280.00,0.00,INR,pending,6969
Card,Payment,2024-10-11 05:05:27,2024-10-11 07:05:27,Hotel Reservation,-6217.00,0.00,INR,completed,6032
Card,Refund,2024-11-14 09:46:07,2024-11-14 21:46:07,Car Rental,-1428.00,0.00,INR,pending,7460
Cash,Refund,2024-11-14 08:27:15,2024-11-14 18:27:15,Car Rental,+7153.00,0.00,INR,completed,13185
Card,Booking,2024-10-02 13:02:48,2024-10-02 19:02:48,Tour Package,-4881.00,0.00,INR,pending,18066
Cash,Refund,2024-11-06 12:56:47,2024-11-06 20:56:47,Train Ticket,+7740.00,0.00,INR,pending,5445
Card,Payment,2024-11-10 03:43:32,2024-11-10 12:43:32,Car Rental,-4403.00,0.00,INR,completed,8782
Card,Booking,2024-09-27 00:51:03,2024-09-27 08:51:03,Train Ticket,-2171.00,0.00,INR,pending,10953
Card,Refund,2024-09-24 19:50:29,2024-09-25 00:50:29,Car Rental,-2683.00,0.00,INR,pending,11465
Cash,Refund,2024-09-28 17:20:08,2024-09-29 04:20:08,Bus Ticket,+1862.00,0.00,INR,completed,10644
Card,Payment,2024-09-14 05:40:22,2024-09-14 17:40:22,Train Ticket,-3960.00,0.00,INR,pending,14604
Card,Refund,2024-09-27 09:00:28,2024-09-27 15:00:28,Train Ticket,-6701.00,0.00,INR,completed,3943
Cash,Refund,2024-09-08 05:45:53,2024-09-08 08:45:53,Tour Package,+6834.00,0.00,INR,pending,-2891
Card,Booking,2024-11-02 13:42:33,2024-11-02 19:42:33,Tour Package,-1701.00,0.00,INR,pending,5644
Cash,Refund,2024-11-16 15:01:27,2024-11-16 19:01:27,Car Rental,+5016.00,0.00,INR,pending,-1073
Cash,Booking,2024-09-08 10:57:49,2024-09-08 16:57:49,Car Rental,+7892.00,0.00,INR,pending,-3949
Card,Booking,2024-11-11 14:01:50,2024-11-11 23:01:50,Hotel Reservation,-1864.00,0.00,INR,pending,5807
